Item,unit,,type,category,Rank
Specialist consultation first visit,,8000,Private,Admission,
specialist consultation subsequent visit,,8000,Private,Admission,
general practioner first visit,,6000,Private,Admission,
general practioner subsequent visit,,6000,Private,Admission,
Call out at night for specialist,,8000,Private,Admission,
Registration,,3000,Private,Admission,
Accommodation,,12000,Private,Admission,
specialist visit/ day,,6000,Private,Admission,
general practioner visit/ day,,4000,Private,Admission,
Acyclovir 200mg dispersible,Tablet,90,Private,Pharmacy,1
Albendazole 200mg,Tablet,20.8,Private,Pharmacy,1
Allopurinol 100mg,Tablet,56.16,Private,Pharmacy,
Aminophylline 100mg,Tablet,20,Private,Pharmacy,
Amitriptyline 25mg,Tablet,20,Private,Pharmacy,
Amlodipine 10mg,Tablet,25,Private,Pharmacy,
Amlodipine 5mg,Tablet,25,Private,Pharmacy,
Amoxycillin 250mg,Tablet,30,Private,Pharmacy,
Amoxyclavulin Acid 500mg (augmentin),Tablet,350,Private,Pharmacy,
Aspirin 300mg,Tablet,20,Private,Pharmacy,
Atenolol 50mg,Tablet,35,Private,Pharmacy,
Atorvastatin 10mg,Tablet,50,Private,Pharmacy,
Atorvastatin 20mg,Tablet,100,Private,Pharmacy,
Azithromycin 500mg ,3,2500,Private,Pharmacy,
Bisacodyl 5mg,Tablet,30,Private,Pharmacy,
Captopril 25mg   ,Tablet,30,Private,Pharmacy,
Carbamazepine 200mg,Tablet,20,Private,Pharmacy,
Chloramphenicol 250mg,Tablet,30,Private,Pharmacy,
Chlorpheniramine maleate 4mg,Tablet,20,Private,Pharmacy,
Chlorpromazine 100mg,Tablet,80,Private,Pharmacy,
cefuroxime  250mg tabs,Tablet,210,Private,Pharmacy,
Cetrizine hydrochloride 10mg,Tablet,42,Private,Pharmacy,
Ciprofloxacin 250mg,Tablet,60,Private,Pharmacy,
Cimetidine 400mg,Tablet,20,Private,Pharmacy,
Cloxacillin 250mg,Tablet,25,Private,Pharmacy,
Cotrimoxazole 480mg,Tablet,15,Private,Pharmacy,
Codeine phosphate 15mg,Tablet,32,Private,Pharmacy,
Dexamethasone 0.5mg,Tablet,10,Private,Pharmacy,
Diazepam 5mg ,Tablet,30,Private,Pharmacy,
Diclofenac 50mg,Tablet,15,Private,Pharmacy,
Diclofenac 100mg,Tablet,20,Private,Pharmacy,
Digoxin 0.25mg,Tablet,50,Private,Pharmacy,
Doxycycline 100mg,Tablet,20.8,Private,Pharmacy,
Domperidone ,Tablet,15,Private,Pharmacy,
Enalapril 5mg,Tablet,20.8,Private,Pharmacy,
Enalapril 10mg,Tablet,32,Private,Pharmacy,
Erythromycin 250mg,Tablet,52,Private,Pharmacy,
Ferrous sulphate 200mg,Tablet,10,Private,Pharmacy,
Fluconazole 200mg,Tablet,60,Private,Pharmacy,
Folic Acid 5mg,Tablet,10,Private,Pharmacy,
Frusemide 40mg,Tablet,10,Private,Pharmacy,
Glibenclamide 5mg,Tablet,20,Private,Pharmacy,
Griseofulvin 500mg,Tablet,100,Private,Pharmacy,
Hydralazine hydrocloride 25mg,Tablet,42,Private,Pharmacy,
Hydrochlorothiazide 25mg,Tablet,10,Private,Pharmacy,
Hyoscine Butylbromide 10mg-Buscopan,Tablet,80,Private,Pharmacy,
Ibuprofen 200mg,Tablet,20,Private,Pharmacy,
Indomethacin 25mg,Tablet,20,Private,Pharmacy,
Isosorbide dinitrate 10mg,Tablet,20.8,Private,Pharmacy,
Ketoconazole 200mg,Tablet,20,Private,Pharmacy,
Levofloxacin 250mg,Tablet,125,Private,Pharmacy,
Lisinopril 10mg,Tablet,125,Private,Pharmacy,
Loperamide 2mg,Tablet,20.8,Private,Pharmacy,
Lumefantrine and Artemether 6's,Dose,1980,Private,Pharmacy,
Lumefantrine and Artemether 12's,Dose,1980,Private,Pharmacy,
Lumefantrine and Artemether 18's,Dose,1980,Private,Pharmacy,
Lumefantrine and Artemether 24's,Dose,1980,Private,Pharmacy,
Artefan,6's,3120,Private,Pharmacy,
Magnesium trisilicate compound,Tablet,15,Private,Pharmacy,
Mefenamic acid 250mg,Tablet,30,Private,Pharmacy,
Metformin 500mg,Tablet,50,Private,Pharmacy,
Metformin 850mg,Tablet,50,Private,Pharmacy,
Methyldopa 250mg,Tablet,80,Private,Pharmacy,
Metoclopramide 10mg,Tablet,30,Private,Pharmacy,
Metronidazole 200mg,Tablet,25,Private,Pharmacy,
Misoprostol,Tablet,210,Private,Pharmacy,
Microgynon Fe,cycle,940,Private,Pharmacy,
Nifedipine 10mg,Tablet,25,Private,Pharmacy,
Nifedipine 20mg,Tablet,30,Private,Pharmacy,
Nitrofurantoin 100mg,Tablet,60,Private,Pharmacy,
Nitroglycerine 0.5mg (glyceryl trinitrate),Tablet,42,Private,Pharmacy,
Norethesterone 5mg,Tablet,350,Private,Pharmacy,
Omeprazole 20mg,Tablet,60,Private,Pharmacy,
Paracetamol 500mg,Tablet,20,Private,Pharmacy,
Penicillin V 250mg,Tablet,30,Private,Pharmacy,
Phenobarbitone 30mg ,Tablet,10,Private,Pharmacy,
Phenytoin 25mg,Tablet,20.8,Private,Pharmacy,
Potassium Chloride(slow K) 600mg ,Tablet,65,Private,Pharmacy,
Praziquantel 600mg,Tablet,150,Private,Pharmacy,
Prednisolone 5mg,Tablet,30,Private,Pharmacy,
Pyridoxine (Vitamin B6) 20mg,Tablet,10.4,Private,Pharmacy,
Proguanil 100mg,Tablet,20.8,Private,Pharmacy,
Promethazine hydrochloride 25mg,Tablet,20.8,Private,Pharmacy,
Propranolol 40mg,Tablet,20,Private,Pharmacy,
Quinine hydrochloride 300mg,Tablet,70,Private,Pharmacy,
